diaObjectId,days ago,sherlock,nDiaSources,psfFlux,absMag
313871013159895048,0.2,SN,847,1781,
313853517423968310,0.2,AGN,1120,4305,
313875416847220800,0.2,AGN,338,3101,
313875415249715313,0.2,AGN,303,3477,
313875415346708494,0.2,AGN,395,2832,
313853517457522753,0.2,AGN,1060,2158,
313853517460144159,0.2,AGN,873,7391,
170028500562477066,0.2,AGN,579,24321,
313875416771199049,0.2,AGN,82,3227,
313853517481115734,0.2,SN,848,7167,-21.8
313853517483212864,0.2,AGN,580,2548,
170028510739955778,0.2,AGN,289,2487,
313853517487407231,0.2,AGN,281,2337,
170028510746247315,0.2,SN,677,1,
313871013381668933,0.2,AGN,18,1846,
313853517533544491,0.2,AGN,875,4257,
313998569410920501,0.2,AGN,144,1639,
313871013410506779,0.2,AGN,332,2735,
313888627085541533,0.2,AGN,612,2104,
170028517907497109,0.2,SN,103,1,
314046942893572164,0.2,AGN,55,1914,
313853517667762301,0.2,AGN,657,5001,
313853517673005060,0.2,AGN,655,6386,
170028500603371670,0.2,AGN,616,1,
170028516424810674,0.2,SN,209,1,
170028510929224300,0.2,AGN,394,1,
170028516444733566,0.2,SN,209,1,
313875416807899153,0.2,AGN,527,2132,
170094456357257301,0.2,SN,91,12920,
170028500624867450,0.2,AGN,858,1,
170226393653182550,0.2,AGN,26,3821,
313998534869254150,0.2,SN,277,3537,-16.8
170046091946885136,0.2,AGN,110,5053,
170046091958419585,0.2,AGN,91,2537,
313853517960839281,0.2,AGN,963,1,
313853517963460682,0.2,AGN,1154,9044,
170028520410447938,0.2,AGN,149,622,
313888627165757588,0.2,AGN,601,1,
170046092403539993,0.2,AGN,27,2905,
170028516653400156,0.2,SN,222,1,
313998569858662581,0.2,AGN,1124,1,
170028511193464994,0.2,SN,190,3241,-20.7
313853533002137676,0.2,SN,692,1963,
313888627036258422,0.2,AGN,411,1,
313875416825725031,0.2,AGN,477,1,
313972182677979277,0.2,AGN,131,1421,
313871016622293065,0.2,AGN,442,7874,
313871013132107892,0.2,AGN,87,1651,
170028510548066453,0.2,AGN,819,1,
170028510549639314,0.2,AGN,735,1,
313871013141020716,0.2,AGN,931,2742,
313888627053035598,0.2,AGN,428,3120,
313853517412958259,0.2,AGN,1071,3321,
313875415056252933,0.2,AGN,459,12402,
313875415056252979,0.2,AGN,367,2674,
170028510615175360,0.2,AGN,643,1,
313871013157797950,0.2,AGN,656,1627,
313875415083515920,0.2,AGN,634,8737,
313963405801160784,0.2,AGN,994,1,
313853517427114056,0.2,AGN,111,3371,
313888627209797709,0.2,AGN,703,3386,
313875415221403664,0.3,AGN,266,2263,
313853533662216209,0.3,AGN,956,1872,
313980949276655687,0.3,SN,121,2371,-20.5
313871013288870117,0.3,AGN,425,2076,
313888627077677231,0.3,AGN,369,1,
